Position,Artist,Song Title,Year,Lyrics
1,Bee Gees,Stayin' Alive,1978,"Well, you can tell by the way I use my walk
I'm a woman's man, no time to talk
Music loud and women warm
I've been kicked around since I was born
But now it's all right, that's okay
You may look the other way
We can try to understand
The New York Times' effect on man
Whether you're a brother or whether you're a mother
You're stayin' alive, stayin' alive
Feel the city breakin' and everybody shakin'
I'm a-stayin' alive, stayin' alive
Ah, ah, ah, ah, stayin' alive, stayin' alive
Ah, ah, ah, ah, stayin' ali-i-i-i-ive
Oh, when you walk
Well, now I get low and I get high
And if I can't get either, I really try
Got the wings of heaven on my shoes
I'm a dancin' man, and I just can't lose
You know, it's all right, it's okay
I'll live to see another day
We can try to understand
The New York Times' effect on man
Whether you're a brother or whether you're a mother
You're stayin' alive, stayin' alive
Feel the city breakin' and everybody shakin'
I'm a-stayin' alive, stayin' alive
Ah, ah, ah, ah, stayin' alive, stayin' alive
Ah, ah, ah, ah, stayin' ali-i-i-i-ive
Oh

Life goin' nowhere, somebody help me
Somebody help me, yeah
Life goin' nowhere, somebody help me, yeah
I'm stayin' alive
Well, you can tell by the way I use my walk
I'm a woman's man, no time to talk
Music loud and women warm
I've been kicked around since I was born
Now it's all right, it's okay
You may look the other way
We can try to understand
The New York Times' effect on man
Whether you're a brother or whether you're a mother
You're stayin' alive, stayin' alive
Feel the city breakin' and everybody shakin'
I'm a-stayin' alive, stayin' alive
Ah, ah, ah, ah, stayin' alive, stayin' alive
Ah, ah, ah, ah, stayin' ali-i-i-i-ive
Yeah

Life goin' nowhere, somebody help me
Somebody help me, yeah
Life goin' nowhere, somebody help me, yeah
I'm stayin' ali-i-i-i-ive
Life goin' nowhere, somebody help me
Somebody help me, yeah
Life goin' nowhere, somebody help me, yeah
I'm stayin' ali-i-i-i-ive
Life goin' nowhere, somebody help me
Somebody help me, yeah
Life goin' nowhere, somebody help me, yeah
I'm stayin' ali-i-i-i-ive
Life goin' nowhere, somebody help me
Somebody help me, yeah
Life goin' nowhere, somebody help me, yeah
I'm stayin' ali-i-i-i-ive"
2,The Beatles,Let it Be,1970,"When I find myself in times of trouble
Mother Mary comes to me
Speaking words of wisdom, let it be
And in my hour of darkness
She is standing right in front of me
Speaking words of wisdom, let it be

Let it be, let it be
Let it be, let it be
Whisper words of wisdom, let it be

And when the broken-hearted people
Living in the world agree
There will be an answer, let it be
For though they may be parted
There is still a chance that they will see
There will be an answer, let it be

Let it be, let it be
Let it be, let it be
Yeah, there will be an answer, let it be
Let it be, let it be
Let it be, let it be
Whisper words of wisdom, let it be

Let it be, let it be
Ah, let it be, yeah, let it be
Whisper words of wisdom, let it be

And when the night is cloudy
There is still a light that shines on me
Shine on until tomorrow, let it be
I wake up to the sound of music,
Mother Mary comes to me
Speaking words of wisdom, let it be

Let it be, let it be
Let it be, yeah, let it be
Oh, there will be an answer, let it be
Let it be, let it be
Let it be, yeah, let it be
Whisper words of wisdom, let it be"
3,George Harrison,My Sweet Lord,1971,"George Harrison
Miscellaneous
My Sweet Lord
My sweet lord
Hm, my lord
Hm, my lord

I really want to see you
Really want to be with you
Really want to see you lord
But it takes so long, my lord

My sweet lord
Hm, my lord
Hm, my lord

I really want to know you
Really want to go with you
Really want to show you lord
That it won't take long, my lord (hallelujah)

My sweet lord (hallelujah)
Hm, my lord (hallelujah)
My sweet lord (hallelujah)

I really want to see you
Really want to see you
Really want to see you, lord
Really want to see you, lord
But it takes so long, my lord (hallelujah)

My sweet lord (hallelujah)
Hm, my lord (hallelujah)
My, my, my lord (hallelujah)

I really want to know you (hallelujah)
Really want to go with you (hallelujah)
Really want to show you lord (aaah)
That it won't take long, my lord (hallelujah)

Hmm (hallelujah)
My sweet lord (hallelujah)
My, my, lord (hallelujah)

Hm, my lord (hare krishna)
My, my, my lord (hare krishna)
Oh hm, my sweet lord (krishna, krishna)
Oh-uuh-uh (hare hare)

Now, I really want to see you (hare rama)
Really want to be with you (hare rama)
Really want to see you lord (aaah)
But it takes so long, my lord (hallelujah)

Hm, my lord (hallelujah)
My, my, my lord (hare krishna)
My sweet lord (hare krishna)
My sweet lord (krishna krishna)
My lord (hare hare)
Hm, hm (Gurur Brahma)
Hm, hm (Gurur Vishnu)
Hm, hm (Gurur Devo)
Hm, hm (Maheshwara)
My sweet lord (Gurur Sakshaat)
My sweet lord (Parabrahma)
My, my, my lord (Tasmayi Shree)
My, my, my, my lord (Guruve Namah)
My sweet lord (Hare Rama)

[fade:]

(hare krishna)
My sweet lord (hare krishna)
My sweet lord (krishna krishna)
My lord (hare hare)"
4,Abba,Dancing Queen,1976,"You can dance, you can jive
Having the time of your life
Ooh see that girl, watch that scene
Dig in the dancing queen

Friday night and the lights are low
Looking out for a place to go
Where they play the right music, getting in the swing
You come in to look for a king

Anybody could be that guy
Night is young and the music's high
With a bit of rock music, everything is fine
You're in the mood for a dance
And when you get the chance

You are the dancing queen
Young and sweet, only seventeen
Dancing queen, feel the beat
From the tambourine, oh yeah

You can dance, you can jive
Having the time of your life
Ooh see that girl, watch that scene
Dig in the dancing queen

You're a teaser, you turn 'em on
Leave 'em burning and then you're gone
Looking out for another, anyone will do
You're in the mood for a dance
And when you get the chance

You are the dancing queen
Young and sweet, only seventeen
Dancing queen, feel the beat
From the tambourine, oh yeah

You can dance, you can jive
Having the time of your life
Ooh see that girl, watch that scene
Dig in the dancing queen
Dig in the dancing queen"
5,John Travolta & Olivia Newton-John,You're the One That I Want,1978,"Exception occurred 
HTTP Error 404: Not Found"
6,The Village People,YMCA,1978,"Young man, there's no need to feel down.
I said, young man, pick yourself off the ground.
I said, young man, 'cause you're in a new town
There's no need to be unhappy.

Young man, there's a place you can go.
I said, young man, when you're short on your dough.
You can stay there, and I'm sure you will find
Many ways to have a good time.

It's fun to stay at the Y-M-C-A.
It's fun to stay at the Y-M-C-A.

They have everything for you men to enjoy
You can hang out with all the boys ...

It's fun to stay at the Y-M-C-A.
It's fun to stay at the Y-M-C-A.

You can get yourself cleaned, you can have a good meal
You can do whatever you feel ...

Young man, are you listening to me?
I said, young man, what do you want to be?
I said, young man, you can make real your dreams.
But you got to know this one thing!

No man does it all by himself.
I said, young man, put your pride on the shelf
And just go there, to the Y-M-C-A.
I'm sure they can help you today.

It's fun to stay at the Y-M-C-A.
It's fun to stay at the Y-M-C-A.

They have everything for you men to enjoy
You can hang out with all the boys ...

It's fun to stay at the Y-M-C-A.
It's fun to stay at the Y-M-C-A.

You can get yourself cleaned, you can have a good meal
You can do whatever you feel ...

Young man, I was once in your shoes.
I said, I was down and out with the blues.
I felt no man cared if I were alive.
I felt the whole world was so jive ...

That's when someone came up to me
And said, young man, take a walk up the street.
There's a place there called the Y-M-C-A.
They can start you back on your way.
It's fun to stay at the Y-M-C-A.
It's fun to stay at the Y-M-C-A.
They have everything for you men to enjoy
You can hang out with all the boys ...
Y-M-C-A... you'll find it at the Y-M-C-A.
Young man, young man, there's no need to feel down.
Young man, young man, get yourself off the ground.
Y-M-C-A ... you'll find it at the Y-M-C-A.
Young man, young man, there's no need to feel down.
Young man, young man, get yourself off the ground.
Y-M-C-A ... just go to the Y-M-C-A.
Young man, young man, are you listening to me?
Young man, young man, what do you wanna be"
7,John Lennon,Imagine,1971,"Imagine there's no Heaven
It's easy if you try
No Hell below us
Above us only sky

Imagine all the people
Livin' for today
Aaa haa

Imagine there's no countries
It isn't hard to do
Nothing to kill or die for
And no religion too

Imagine all the people
Livin' life in peace
Yoo hoo

You may say I'm a dreamer
But I'm not the only one
I hope someday you'll join us
And the world will be as one

Imagine no possessions
I wonder if you can
No need for greed or hunger
A brotherhood of man

Imagine all the people
Sharin' all the world
Yoo hoo

You may say I'm a dreamer
But I'm not the only one
I hope someday you'll join us
And the world will live as one"
8,Queen,Bohemian Rhapsody,1976,"Is this the real life?
Is this just fantasy?
Caught in a landslide
No escape from reality

Open your eyes
Look up to the skies and see
I'm just a poor boy
I need no sympathy

Because I'm easy come, easy go
Little high, little low
Any way the wind blows
Doesn't really matter to me, to me

Mama, just killed a man
Put a gun against his head
Pulled my trigger, now he's dead
Mama, life had just begun
But now I've gone and thrown it all away

Mama, ooh
Didn't mean to make you cry
If I'm not back again this time tomorrow
Carry on, carry on as if nothing really matters

Too late, my time has come
Sends shivers down my spine
Body's aching all the time

Goodbye everybody
I've got to go
Gotta leave you all behind
And face the truth

Mama, ooh
(Any way the wind blows)
I don't want to die
I sometimes wish I'd never been born at all

I see a little silhouetto of a man
Scaramouche, Scaramouche, will you do the Fandango?
Thunderbolt and lightning, very very frightening me
(Galileo, Galileo, Galileo, Galileo, Galileo, Figaro)
Magnifico

I'm just a poor boy, nobody loves me
He's just a poor boy from a poor family
Spare him his life from this monstrosity

Easy come, easy go, will you let me go?
Bismillah! No, we will not let you go!
(Let him go!)
Bismillah! We will not let you go!
(Let him go!)
Bismillah! We will not let you go!
(Let me go!)
Will not let you go!
(Let me go!)
(Never never never never let me go!)
Will not let you go!

No, no, no, no, no, no, no
Oh mama mia, mama mia
Mama mia, let me go
Beelzebub has a devil put aside
For me, for me, for me

So you think you can stone me and spit in my eye?
So you think you can love me and leave me to die?
Oh, baby, can't do this to me, baby
Just gotta get out, just gotta get right outta here

Nothing really matters
Anyone can see
Nothing really matters
Nothing really matters to me
Any way the wind blows"
9,The Rolling Stones,Angie,1973,"Angie, Angie
When will those clouds all disappear?
Angie, Angie
Where will it lead us from here?

With no loving in our souls
And no money in our coats
You can't say we're satisfied
But, Angie, Angie

You can't say we never tried

Angie, you're beautiful, yeah
But ain't it time we said goodbye?

Angie,
I still love you

Remember all those nights we cried?
All the dreams we held so close

Seemed to all go up in smoke
Let me whisper in your ear
Angie, Angie

Where will it lead us from here?

Oh, Angie, don't you weep
All your kisses still taste sweet
I hate that sadness in your eyes
But, Angie, Angie

Ain't it time we said goodbye, yeah?
With no loving in our souls
And no money in our coats
You can't say we're satisfied
But, Angie, I still love you, baby
Everywhere I look, I see your eyes
There ain't a woman that comes close to you
Come on, baby, dry your eyes
But, Angie, Angie
Ain't it good to be alive?
Angie, Angie
They can't say we never tried"
10,Mungo Jerry,In the Summertime,1970,"In the summertime when the weather is high
You can stretch right up and touch the sky
When the weather's right
You got women, you got women on your mind
Have a drink, have a drive
Go out and see what you can find

If her daddy's rich, take her out for a meal
If her daddy's poor, just do what you feel
Speed along the lane
Do a ton or a ton and twenty-five
When the sun goes down you can make it
Make it good in a lay-by

We're no threat, people, we're not dirty, we're not mean
We love everybody but we do as we please
When the weather is fine
We go fishing or go swimming in the sea
We're always happy
Life's for living, yeah, that's our philosophy

Sing along with us
Dee dee dee dee dee
Dah dah dah dah dah
Yeah we're hap, happy
Dah dah dah
Dee dah do dee dah do dah dah, yeah
Dah de dah dah dah, alright, alright
Dah dah ah do dah dah, alright ah

When the winter's here, yeah, it's party time
Bring a bottle, wear you're bright clothes
It'll soon be summertime and we'll sing again
We'll go drivin' or maybe we'll settle down
If she's rich, if she's nice
Bring you're friends and we'll all go into town

In the summertime when the weather is high
You can stretch right up and touch the sky
When the weather's right
You got women, you got women on your mind
Have a drink, have a drive
Go out and see what you can find

If her Daddy's rich, take her out for a meal
If her Daddy's poor, just do what you feel
Speed along the lane
Do a ton or a ton and twenty-five
When the sun goes down you can make it
Make it good in a lay-by

We're no threat, people, we're not dirty, we're not mean
We love everybody but we do as we please
When the weather is fine
We go fishing or go swimming in the sea
We're always happy
Life's for living, yeah, that's our philosophy

Sing along with us
Dee dee dee dee dee
Dah dah dah dah dah
Yeah we're hap, happy
Dah dah dah
Dee dah do dee dah do dah dah, yeah"
