words	tf-idf
lola	12.182838295
baker	10.3552364567
waterloo	9.89366074924
grease	9.54569868084
angie	9.54569868084
hm	9.54569868084
sharona	9.15671018307
hare	9.15671018307
levee	8.94356622524
krishna	8.47096351224
ooo	8.39945661283
stayin	8.29293415267
mull	8.20661565907
aaah	7.9192531825
ballroom	7.9192531825
kintyre	7.9192531825
dah	7.70620757559
tragedy	7.68333070309
blitz	7.60448320347
boogie	7.54224564608
fernando	7.54224564608
ma	7.52206244914
babylon	7.25652113507
heathcliff	7.25652113507
dee	7.06648886353
venus	6.8675326373
paloma	6.8675326373
blanca	6.8675326373
lotta	6.69307609683
wood	6.48420962082
dovey	6.42653385058
crocodile	6.42653385058
wept	6.42653385058
troubled	6.42653385058
shaft	6.42653385058
zion	6.42653385058
fu	6.42653385058
kung	6.42653385058
suzie	6.42653385058
remembered	6.42653385058
fishes	6.42653385058
lovey	6.42653385058
wuthering	6.42653385058
force	6.38547261956
bell	6.28762407455
evenin	6.25715883489
hallelujah	6.24432515915
postman	6.00845283826
galileo	5.9174381133
rosie	5.9174381133
cathy	5.73352111423
joy	5.70132744065
love	5.60211882088
bye	5.58033689726
survive	5.51643696734
champions	5.47666667742
crumble	5.42617359555
chic	5.42617359555
rye	5.42617359555
mucho	5.3153056577
mistrust	5.3153056577
smoker	5.3153056577
grinner	5.3153056577
cracklin	5.3153056577
facing	5.3153056577
ribbon	5.3153056577
jive	5.3153056577
toker	5.3153056577
mist	5.3153056577
expert	5.3153056577
wop	5.3153056577
meanest	5.3153056577
picker	5.3153056577
gurur	5.3153056577
timing	5.3153056577
fox	5.28489596887
bear	5.28489596887
softly	5.23358981489
stuff	5.1386161557
sos	5.07773171714
maggie	5.07773171714
pipe	5.07773171714
heartache	5.07483492461
knock	4.97026229088
born	4.87910011285
fever	4.86316007593
lovely	4.84262321345
lord	4.83293827405
hoo	4.76180358256
baby	4.72738781871
season	4.67548508897
sinner	4.67548508897
risin	4.67548508897
sons	4.67548508897
strumming	4.67548508897
garden	4.67548508897
breaking	4.65609467639
yeah	4.60517018599
chevy	4.59506448727
lightning	4.59506448727
na	4.58496747867
wisdom	4.58303260605
midnight	4.58303260605
closes	4.58303260605
liberty	4.57835509154
complainin	4.57835509154
jester	4.57835509154
tonights	4.57835509154
lawdy	4.57835509154
bismillah	4.57835509154
losers	4.57835509154
shocking	4.57835509154
smallest	4.57835509154
complanin	4.57835509154
rama	4.57835509154
foxy	4.57835509154
effect	4.57835509154
lured	4.57835509154
dresses	4.57835509154
night	4.5538768916
freak	4.52071836703
