words	tf-idf
br	15.2089664069
womanizer	12.0992240798
dejebe	11.3410349511
ande	11.3410349511
ding	11.1956875275
hah	10.6306113154
bem	10.0547944181
mum	9.99060201311
bum	9.63014423676
nana	9.35692815535
hollaback	9.35692815535
mah	9.15671018307
ja	9.15671018307
sebi	9.15671018307
deje	9.15671018307
unuova	9.15671018307
disturbia	9.15671018307
majabi	9.15671018307
bugui	9.15671018307
suicidal	8.94356622524
maria	8.94356622524
nos	8.94356622524
woogie	8.71571139634
cha	8.60028167135
ms	8.47096351224
toxic	8.47096351224
vengo	8.47096351224
dumda	8.47096351224
promiscuous	8.47096351224
lo	8.39945661283
bouncin	8.20661565907
slim	8.1301899953
shady	8.01714096943
dum	7.93945067709
poker	7.9192531825
salsa	7.9192531825
trillion	7.9192531825
boom	7.83075967898
smack	7.70620757559
chola	7.68333070309
mm	7.25652113507
baila	7.25652113507
singer	7.25652113507
baa	7.25652113507
opportunity	7.25652113507
ana	7.25652113507
bisasha	7.25652113507
shadys	7.25652113507
tubba	7.25652113507
imitating	7.25652113507
sore	7.25652113507
digger	7.25652113507
oops	7.25652113507
shakira	7.25652113507
boogie	6.88645624899
phunk	6.8675326373
mamas	6.8675326373
controversy	6.8675326373
embustero	6.8675326373
bello	6.8675326373
ledo	6.8675326373
gaga	6.8675326373
floss	6.8675326373
bub	6.8675326373
ahora	6.69307609683
satisfy	6.69307609683
bounce	6.58051785333
hung	6.48946343408
va	6.48420962082
santana	6.42653385058
carlos	6.42653385058
roma	6.42653385058
casa	6.42653385058
rubbed	6.42653385058
niggaz	6.42653385058
woohoo	6.42653385058
bleeding	6.31578164009
shit	6.30677125088
cost	6.25715883489
lala	6.25715883489
su	6.00845283826
fed	6.00845283826
bye	5.97064737989
presents	5.9174381133
downin	5.9174381133
thugin	5.9174381133
midwest	5.9174381133
tea	5.9174381133
arf	5.9174381133
justa	5.9174381133
iced	5.9174381133
reminds	5.9174381133
stan	5.9174381133
el	5.81641058353
rescue	5.73352111423
sa	5.73352111423
beyonce	5.73352111423
na	5.5947113796
ma	5.51643696734
love	5.51342874616
yeah	5.45958551414
fuck	5.45546730774
romance	5.42926047264
possibly	5.42617359555
rehab	5.42617359555
delilah	5.42617359555
girlfriend	5.41407223547
baby	5.39816270152
band	5.32771583923
gallardo	5.3153056577
bap	5.3153056577
testing	5.3153056577
coo	5.3153056577
psychotic	5.3153056577
satisfactioning	5.3153056577
d12	5.3153056577
hereunder	5.3153056577
foggin	5.3153056577
bark	5.3153056577
aggravation	5.3153056577
blueprint	5.3153056577
acid	5.3153056577
tae	5.3153056577
lalala	5.3153056577
frustrated	5.3153056577
diego	5.3153056577
dude	5.28489596887
girl	5.23644196283
por	5.18941150182
ca	5.17614973257
shorty	5.15482458158
make	5.11198778836
ra	5.07773171714
peeps	5.07773171714
screamin	5.07773171714
starlight	5.07773171714
tuck	5.07773171714
eminem	5.07773171714
frog	5.07773171714
selection	5.07773171714
noise	5.05720110163
crazy	5.02197866332
gon	4.92725368516
faster	4.89382479265
da	4.87910011285
ai	4.8751973232
ah	4.84371922053
protection	4.84262321345
uh	4.71179802697
hey	4.70048036579
daughter	4.69440077791
begging	4.69440077791
smokin	4.67548508897
18	4.67548508897
jeep	4.67548508897
swingin	4.67548508897
wan	4.63472898823
back	4.63472898823
apologize	4.59974251104
rockin	4.59506448727
se	4.58512756281
woah	4.58512756281
whoops	4.57835509154
whatsoever	4.57835509154
closin	4.57835509154
personal	4.57835509154
refugee	4.57835509154
wronger	4.57835509154
bonita	4.57835509154
entertaining	4.57835509154
carryin	4.57835509154
guidance	4.57835509154
report	4.57835509154
dividir	4.57835509154
underpants	4.57835509154
jackin	4.57835509154
brake	4.57835509154
falter	4.57835509154
signal	4.57835509154
altered	4.57835509154
konvict	4.57835509154
hump	4.57835509154
crippled	4.57835509154
missionaries	4.57835509154
additcted	4.57835509154
sword	4.57835509154
shield	4.57835509154
bumpy	4.57835509154
appolonia	4.57835509154
handing	4.57835509154
je	4.57835509154
questionin	4.57835509154
straightenin	4.57835509154
choirs	4.57835509154
jerusalem	4.57835509154
isotoners	4.57835509154
misses	4.57835509154
pregnant	4.57835509154
trailer	4.57835509154
chigga	4.57835509154
bourgeoisie	4.57835509154
pelearemos	4.57835509154
rebels	4.57835509154
sufrir	4.57835509154
nelly	4.57835509154
chap	4.57835509154
irreplaceable	4.57835509154
charming	4.57835509154
autograph	4.57835509154
joanna	4.57835509154
terminaremos	4.57835509154
tossin	4.57835509154
donde	4.57835509154
bid	4.57835509154
tworkin	4.57835509154
catholic	4.57835509154
incitar	4.57835509154
ya	4.54329478227
breath	4.48106180231
escape	4.47137929542
remind	4.46831247697
man	4.45434729625
feel	4.43081679884
pow	4.41242247306
benz	4.41242247306
bad	4.36944785247
time	4.36944785247
boy	4.36944785247
dj	4.34283677287
jackson	4.34283677287
wit	4.34283677287
spanish	4.28873304818
messin	4.28873304818
windows	4.28873304818
tu	4.2804913178
hit	4.27673067593
hour	4.25384643962
lifetime	4.2105210934
release	4.20731268804
en	4.20731268804
west	4.20731268804
sexy	4.20025930446
hypnotic	4.19972830641
healthy	4.19972830641
extra	4.19972830641
group	4.19972830641
crib	4.19972830641
honesty	4.19972830641
calle	4.19972830641
mira	4.19972830641
dolls	4.19972830641
bo	4.19972830641
tasting	4.19972830641
tension	4.19972830641
jay	4.19972830641
smash	4.19972830641
center	4.19972830641
bananas	4.19972830641
sofa	4.19972830641
page	4.19972830641
